10000
23.96.219.115        	             777
49.77.20.20          	               9
185.35.62.200        	             205
88.100.184.82        	              20
115.227.123.18       	             547
200.158.26.238       	               5
185.35.62.56         	             192
78.169.15.116        	              15
173.245.59.76        	             175
151.250.238.173      	               9
95.5.171.118         	             554
52.17.133.62         	              42
218.61.30.235        	             358
112.205.116.232      	              51
201.35.228.66        	              12
129.16.138.161       	             200
203.192.248.229      	             590
170.238.78.34        	             103
92.45.195.186        	              13
123.52.207.175       	             109
114.222.42.174       	             129
188.166.26.84        	             970
49.206.175.126       	             622
103.210.47.203       	             123
63.148.206.76        	             941
70.55.161.199        	              20
71.197.181.79        	               2
141.212.122.136      	             123
90.148.27.28         	              10
201.190.103.236      	             106
54.230.161.109       	            8673
124.226.174.225      	              90
223.154.53.253       	              16
168.195.231.237      	              51
186.60.147.226       	              18
46.25.179.76         	              87
183.83.2.176         	             190
36.149.40.66         	               8
156.154.65.196       	            7597
201.254.188.22       	              12
60.174.119.146       	              17
181.27.200.211       	               9
52.30.195.21         	             120
180.113.218.157      	             101
62.210.180.226       	             126
49.207.21.232        	             346
159.178.237.53       	            9681
141.212.122.157      	             129
118.193.31.182       	            1420
64.94.228.203        	             374
73.7.196.164         	              16
128.227.225.49       	            2362
119.190.49.104       	             302
183.83.5.54          	             362
217.126.203.92       	              56
74.125.9.81          	              22
103.199.97.43        	             266
128.227.96.161       	             778
185.35.62.186        	             211
1.196.116.39         	              26
192.85.128.205       	            1776
34.209.176.190       	            1128
1.182.113.190        	             129
183.213.176.227      	              48
46.108.40.210        	             656
197.254.76.10        	             539
83.14.61.226         	              46
31.46.219.32         	               6
137.221.4.25         	               4
139.162.111.138      	            1152
83.0.170.10          	              21
121.236.61.211       	             103
183.135.153.56       	             138
180.254.227.158      	             289
24.196.118.50        	              20
24.236.111.9         	            5216
183.83.4.42          	             358
69.63.188.200        	              12
185.35.62.173        	             218
52.221.20.79         	             309
181.211.199.179      	               5
132.170.219.77       	             870
